"","Recycled Water Class/Category","Source Water Type","Water Quality Parameter","Specification","Sampling/Monitoring Requirements (Frequency of monitoring; site/ location of sample; quantification methods)*","State"
"393","Level 2 (Irrigation of areas with restricted access for any food crops commercially processed and nonfood crops and turf, including fodder, fiber and seed crops; pasture for foraging livestock; sod farms; ornamental nurseries; and silviculture)b","Municipal wastewater","pH","6.0–9.0","Daily grab samples at the POC.","Virginia"
"394","Level 2 (Irrigation of areas with restricted access for any food crops commercially processed and nonfood crops and turf, including fodder, fiber and seed crops; pasture for foraging livestock; sod farms; ornamental nurseries; and silviculture)b","Municipal wastewater","Biochemical oxygen demand (BOD5) or 5-day carbonaceous biochemical oxygen demand (CBOD5)","=30 mg/L (monthly average BOD5)

			=45 mg/L (maximum weekly average BOD5)

			or

			=25 mg/L (monthly average CBOD5)e

			=40 mg/L (maximum weekly average CBOD5)e","At least weekly sampling or more frequently based on reclamation system designated design flow and must be the same sampling type and frequency as specified for sewage treatment works in the Sewage Collection and Treatment Regulations (9 Va. Admin. Code § 25-790); sampling to occur at the POC.","Virginia"
"395","Level 2 (Irrigation of areas with restricted access for any food crops commercially processed and nonfood crops and turf, including fodder, fiber and seed crops; pasture for foraging livestock; sod farms; ornamental nurseries; and silviculture)b","Municipal wastewater","Total suspended solids (TSS)","=30 mg/L (monthly average)

			=45 mg/L (maximum weekly average)","At least weekly sampling or more frequently based on reclamation system designated design flow and must be the same sampling type and frequency as specified for sewage treatment works in the Sewage Collection and Treatment Regulations (9 Va. Admin. Code § 25-790); sampling to occur at the POC.","Virginia"
"396","Level 2 (Irrigation of areas with restricted access for any food crops commercially processed and nonfood crops and turf, including fodder, fiber and seed crops; pasture for foraging livestock; sod farms; ornamental nurseries; and silviculture)b","Municipal wastewater","Total residual chlorinef","<1.0 mg/Lg (corrective action threshold)","Minimum contact time is 30 minutes at average flow or 20 minutes at peak flow. Sampling should be based on the reclamation system designated design flow and the same type and frequency as specified for sewage treatment works in the Sewage Collection and Treatment Regulations (9 Va. Admin. Code § 25-790).","Virginia"
"397","Level 2 (Irrigation of areas with restricted access for any food crops commercially processed and nonfood crops and turf, including fodder, fiber and seed crops; pasture for foraging livestock; sod farms; ornamental nurseries; and silviculture)b","Municipal wastewater","UV light design dosei","=50,000 uWsec/cm2","Determined in accordance with 9VAC25-790-770.","Virginia"
"398","Level 2 (Irrigation of areas with restricted access for any food crops commercially processed and nonfood crops and turf, including fodder, fiber and seed crops; pasture for foraging livestock; sod farms; ornamental nurseries; and silviculture)b","","UV transmittancei","=65% at 253.7 nm","Determined in accordance with 9VAC25-790-770.","Virginia"
"399","Level 2 (Irrigation of areas with restricted access for any food crops commercially processed and nonfood crops and turf, including fodder, fiber and seed crops; pasture for foraging livestock; sod farms; ornamental nurseries; and silviculture)b","","Nitrogenj","Not specified","Not specified","Virginia"
"400","Level 2 (Irrigation of areas with restricted access for any food crops commercially processed and nonfood crops and turf, including fodder, fiber and seed crops; pasture for foraging livestock; sod farms; ornamental nurseries; and silviculture)b","","Phosphorusj","Not specified","Not specified","Virginia"
"401","Class A Reclaimed Water (Irrigation of food crops (unless otherwise specified), trees, fodder, fiber or seed crops in pastures accessed by milking animals)","Municipal wastewater","Must meet the treatment requirements for Class B reclaimed water and any additional treatment criteria as specified.","Must meet the treatment requirements for Class B reclaimed water and any additional treatment criteria as specified.","Must meet the treatment requirements for Class B reclaimed water and any additional treatment criteria as specified.","Washington"
"402","Class A Reclaimed Water (Irrigation of food crops (unless otherwise specified), trees, fodder, fiber or seed crops in pastures accessed by milking animals)","Municipal wastewater","Turbidity (coagulation/filtration)","2 NTU (monthly average)

			5 NTU (sample maximum)","","Washington"
"403","Class A Reclaimed Water (Irrigation of food crops (unless otherwise specified), trees, fodder, fiber or seed crops in pastures accessed by milking animals)","Municipal wastewater","Turbidity (membrane filtration)","0.2 NTU (monthly average)

			0.5 NTU (sample maximum)","","Washington"
"404","Class A Reclaimed Water (Irrigation of food crops (unless otherwise specified), trees, fodder, fiber or seed crops in pastures accessed by milking animals)","Municipal wastewater","Total coliform","2.2 MPN/100 mL or CFU/100 mL (7-day median)

			23 MPN/100 mL or CFU/100 mLa (sample maximum)","","Washington"
"405","Class A Reclaimed Water (Irrigation of food crops (unless otherwise specified), trees, fodder, fiber or seed crops in pastures accessed by milking animals)","Municipal wastewater","Virus removal","Minimum 4-log virus removalb","","Washington"
"406","Class A Reclaimed Water (Irrigation of food crops (unless otherwise specified), trees, fodder, fiber or seed crops in pastures accessed by milking animals)","Municipal wastewater","Nitrogen","Not specified","Not specified","Washington"
"407","Class A Reclaimed Water (Irrigation of food crops (unless otherwise specified), trees, fodder, fiber or seed crops in pastures accessed by milking animals)","Municipal wastewater","Phosphorus","Not specified","Not specified","Washington"
"408","Class B Reclaimed Water (Irrigation of nonfood crops, orchards and vineyards, process food crops, trees, fodder, fiber or seed crops in pastures not accessed by milking animals; Frost protection of orchard crops)","Municipal wastewater","Dissolved oxygen","Must be measurably present","The parameter must be measured at the end of the unit process or alternative monitoring location as set in a reclaimed water permit","Washington"
"409","Class B Reclaimed Water (Irrigation of nonfood crops, orchards and vineyards, process food crops, trees, fodder, fiber or seed crops in pastures not accessed by milking animals; Frost protection of orchard crops)","Municipal wastewater","5-day biochemical oxygen demand (BOD5)","30 mg/L (monthly average)

			45 mg/L (weekly average)","The parameter must be measured at the end of the unit process or alternative monitoring location as set in a reclaimed water permit","Washington"
"410","Class B Reclaimed Water (Irrigation of nonfood crops, orchards and vineyards, process food crops, trees, fodder, fiber or seed crops in pastures not accessed by milking animals; Frost protection of orchard crops)","Municipal wastewater","5-day carbonaceous biochemical oxygen demand (CBOD5)","25 mg/L (monthly average)

			40 mg/L (weekly average)","The parameter must be measured at the end of the unit process or alternative monitoring location as set in a reclaimed water permit","Washington"
"411","Class B Reclaimed Water (Irrigation of nonfood crops, orchards and vineyards, process food crops, trees, fodder, fiber or seed crops in pastures not accessed by milking animals; Frost protection of orchard crops)","Municipal wastewater","Total suspended solids (TSS)","30 mg/L (monthly average)

			45 mg/L (weekly average)","The parameter must be measured at the end of the unit process or alternative monitoring location as set in a reclaimed water permit","Washington"
"412","Class B Reclaimed Water (Irrigation of nonfood crops, orchards and vineyards, process food crops, trees, fodder, fiber or seed crops in pastures not accessed by milking animals; Frost protection of orchard crops)","Municipal wastewater","pH","6–9","The parameter must be measured at the end of the unit process or alternative monitoring location as set in a reclaimed water permit","Washington"
"413","Class B Reclaimed Water (Irrigation of nonfood crops, orchards and vineyards, process food crops, trees, fodder, fiber or seed crops in pastures not accessed by milking animals; Frost protection of orchard crops)","Municipal wastewater","Total coliform","23 MPN/mL or CFU/mL (7-day median)

			240 MPN/mL or CFU/mL (sample maximum)","The parameter must be measured at the end of the unit process or alternative monitoring location as set in a reclaimed water permit","Washington"
"414","Class B Reclaimed Water (Irrigation of nonfood crops, orchards and vineyards, process food crops, trees, fodder, fiber or seed crops in pastures not accessed by milking animals; Frost protection of orchard crops)","Municipal wastewater","Chlorine residualc","=1 mg/L","After a contact time of at least 30 minutes based on peak day design flow","Washington"
"415","Class B Reclaimed Water (Irrigation of nonfood crops, orchards and vineyards, process food crops, trees, fodder, fiber or seed crops in pastures not accessed by milking animals; Frost protection of orchard crops)","Municipal wastewater","Nitrogen","Not specified","Not specified","Washington"
"416","Class B Reclaimed Water (Irrigation of nonfood crops, orchards and vineyards, process food crops, trees, fodder, fiber or seed crops in pastures not accessed by milking animals; Frost protection of orchard crops)","Municipal wastewater","Phosphorus","Not specified","Not specified","Washington"
"417","Class A (Irrigation of land with high potential for public exposure)","Treated wastewater","pH","Not specified","Representative samples shall be analyzed in accordance with 40 CFR Part 136, Guidelines Establishing Test Procedures for the Analysis of Pollutants.

			

			For mechanical plants, monitoring once per week or the monitoring frequency specified in the NPDES discharge permit whichever is more frequent.

			For lagoon systems, monitoring one per month or the frequency specified in the NPDES discharge permit whichever is more frequent.","Wyoming"
"418","Class A (Irrigation of land with high potential for public exposure)","Treated wastewater","Fecal coliforms","2.2 organisms/100 mL or less","Representative samples shall be analyzed in accordance with 40 CFR Part 136, Guidelines Establishing Test Procedures for the Analysis of Pollutants.

			

			For mechanical plants, monitoring once per week or the monitoring frequency specified in the NPDES discharge permit whichever is more frequent.

			For lagoon systems, monitoring one per month or the frequency specified in the NPDES discharge permit whichever is more frequent.","Wyoming"
"419","Class A (Irrigation of land with high potential for public exposure)","Treated wastewater","Nitrate (as N)","Not specified","Representative samples shall be analyzed in accordance with 40 CFR Part 136, Guidelines Establishing Test Procedures for the Analysis of Pollutants.

			

			For mechanical plants, monitoring once per week or the monitoring frequency specified in the NPDES discharge permit whichever is more frequent.

			For lagoon systems, monitoring one per month or the frequency specified in the NPDES discharge permit whichever is more frequent.","Wyoming"
"420","Class A (Irrigation of land with high potential for public exposure)","Treated wastewater","Ammonia (as N)","Not specified","Representative samples shall be analyzed in accordance with 40 CFR Part 136, Guidelines Establishing Test Procedures for the Analysis of Pollutants.

			

			For mechanical plants, monitoring once per week or the monitoring frequency specified in the NPDES discharge permit whichever is more frequent.

			For lagoon systems, monitoring one per month or the frequency specified in the NPDES discharge permit whichever is more frequent.","Wyoming"
"421","Class A (Irrigation of land with high potential for public exposure)","Treated wastewater","Phosphorus","Not specified","Representative samples shall be analyzed in accordance with 40 CFR Part 136, Guidelines Establishing Test Procedures for the Analysis of Pollutants.

			

			For mechanical plants, monitoring once per week or the monitoring frequency specified in the NPDES discharge permit whichever is more frequent.

			For lagoon systems, monitoring one per month or the frequency specified in the NPDES discharge permit whichever is more frequent.","Wyoming"
"422","Class B (Irrigation of land with moderate potential for public exposure; irrigation of direct human consumption food crops)","Treated wastewater","pH","Not specified","Representative samples shall be analyzed in accordance with 40 CFR Part 136, Guidelines Establishing Test Procedures for the Analysis of Pollutants.

			

			For mechanical plants, monitoring once per week or the monitoring frequency specified in the NPDES discharge permit whichever is more frequent.

			For lagoon systems, monitoring one per month or the frequency specified in the NPDES discharge permit whichever is more frequent.","Wyoming"
"423","Class B (Irrigation of land with moderate potential for public exposure; irrigation of direct human consumption food crops)","Treated wastewater","Fecal coliforms","= 2.2 organisms/100 mL but = 200 organisms/100 mL","Representative samples shall be analyzed in accordance with 40 CFR Part 136, Guidelines Establishing Test Procedures for the Analysis of Pollutants.

			

			For mechanical plants, monitoring once per week or the monitoring frequency specified in the NPDES discharge permit whichever is more frequent.

			For lagoon systems, monitoring one per month or the frequency specified in the NPDES discharge permit whichever is more frequent.","Wyoming"
"424","Class B (Irrigation of land with moderate potential for public exposure; irrigation of direct human consumption food crops)","Treated wastewater","Nitrate (as N)","Not specified","Representative samples shall be analyzed in accordance with 40 CFR Part 136, Guidelines Establishing Test Procedures for the Analysis of Pollutants.

			

			For mechanical plants, monitoring once per week or the monitoring frequency specified in the NPDES discharge permit whichever is more frequent.

			For lagoon systems, monitoring one per month or the frequency specified in the NPDES discharge permit whichever is more frequent.","Wyoming"
"425","Class B (Irrigation of land with moderate potential for public exposure; irrigation of direct human consumption food crops)","Treated wastewater","Ammonia (as N)","Not specified","Representative samples shall be analyzed in accordance with 40 CFR Part 136, Guidelines Establishing Test Procedures for the Analysis of Pollutants.

			

			For mechanical plants, monitoring once per week or the monitoring frequency specified in the NPDES discharge permit whichever is more frequent.

			For lagoon systems, monitoring one per month or the frequency specified in the NPDES discharge permit whichever is more frequent.","Wyoming"
"426","Class B (Irrigation of land with moderate potential for public exposure; irrigation of direct human consumption food crops)","Treated wastewater","Phosphorus","Not specified","Representative samples shall be analyzed in accordance with 40 CFR Part 136, Guidelines Establishing Test Procedures for the Analysis of Pollutants.

			

			For mechanical plants, monitoring once per week or the monitoring frequency specified in the NPDES discharge permit whichever is more frequent.

			For lagoon systems, monitoring one per month or the frequency specified in the NPDES discharge permit whichever is more frequent.","Wyoming"
"427","Class C (Irrigation of land with low potential for public exposure; Irrigation of indirect human consumption food crops)","Treated wastewater","Fecal coliform","200 organisms/100 mL or =1,000 organisms/100 mL","Representative samples shall be analyzed in accordance with 40 CFR Part 136, Guidelines Establishing Test Procedures for the Analysis of Pollutants.

			

			For mechanical plants, monitoring once per week or the monitoring frequency specified in the NPDES discharge permit whichever is more frequent.

			For lagoon systems, monitoring one per month or the frequency specified in the NPDES discharge permit whichever is more frequent.","Wyoming"
"428","Class C (Irrigation of land with low potential for public exposure; Irrigation of indirect human consumption food crops)","Treated wastewater","Nitrate (as N)","Not specified","Representative samples shall be analyzed in accordance with 40 CFR Part 136, Guidelines Establishing Test Procedures for the Analysis of Pollutants.

			

			For mechanical plants, monitoring once per week or the monitoring frequency specified in the NPDES discharge permit whichever is more frequent.

			For lagoon systems, monitoring one per month or the frequency specified in the NPDES discharge permit whichever is more frequent.","Wyoming"
"429","Class C (Irrigation of land with low potential for public exposure; Irrigation of indirect human consumption food crops)","Treated wastewater","Ammonia (as N)","Not specified","Representative samples shall be analyzed in accordance with 40 CFR Part 136, Guidelines Establishing Test Procedures for the Analysis of Pollutants.

			

			For mechanical plants, monitoring once per week or the monitoring frequency specified in the NPDES discharge permit whichever is more frequent.

			For lagoon systems, monitoring one per month or the frequency specified in the NPDES discharge permit whichever is more frequent.","Wyoming"
"430","Class C (Irrigation of land with low potential for public exposure; Irrigation of indirect human consumption food crops)","Treated wastewater","pH","Not specified","Representative samples shall be analyzed in accordance with 40 CFR Part 136, Guidelines Establishing Test Procedures for the Analysis of Pollutants.

			

			For mechanical plants, monitoring once per week or the monitoring frequency specified in the NPDES discharge permit whichever is more frequent.

			For lagoon systems, monitoring one per month or the frequency specified in the NPDES discharge permit whichever is more frequent.","Wyoming"
"431","Class C (Irrigation of land with low potential for public exposure; Irrigation of indirect human consumption food crops)","Treated wastewater","Phosphorus","Not specified","Representative samples shall be analyzed in accordance with 40 CFR Part 136, Guidelines Establishing Test Procedures for the Analysis of Pollutants.

			

			For mechanical plants, monitoring once per week or the monitoring frequency specified in the NPDES discharge permit whichever is more frequent.

			For lagoon systems, monitoring one per month or the frequency specified in the NPDES discharge permit whichever is more frequent.","Wyoming"
